PRODUCTID	PRODUCTNAME	PRODUCTGROUPCODE	PRODUCTGROUPNAME	INSTOCKFLAG	FULLPRICE	ASIN	NodeId
10039		BK	BOOK	Y	460	0001057138	8622763011
10040		BK	BOOK	Y	195	0001057146	8622764011
10041		BK	BOOK	Y	340	0001057170	8622765011
10042		BK	BOOK	Y	333	0001057324	336832011
10043		BK	BOOK	Y	540	0001061100	1851
10044		BK	BOOK	Y	195	0001061127	3564963011
10045		BK	BOOK	Y	340	0001062395	1852
10046		BK	BOOK	Y	375	0001064487	3564966011
10047		BK	BOOK	Y	513	0001072986	8298052011
10048		BK	BOOK	Y	195	0001127748	8298053011
10049		BK	BOOK	Y	340	0001148427	5824912011
10050		BK	BOOK	Y	375	0001203010	5399
10051		BK	BOOK	Y	540	0001203088	13922573011
10052		BK	BOOK	Y	195	0001360000	1854
10053		BK	BOOK	Y	322	0001360183	1855
10054		BK	BOOK	Y	375	0001360779	1839
10055		BK	BOOK	Y	195	0001361139	14292115011
10056		BK	BOOK	Y	340	0001361155	14292116011
10057		BK	BOOK	Y	375	000136118X	14292117011
10058		BK	BOOK	Y	540	0001371037	14292118011
10059		BK	BOOK	Y	195	0001371045	520992
10060		BK	BOOK	Y	340	0001374400	11357541011
10061		BK	BOOK	Y	375	0001380877	14279703011
10062		BK	BOOK	Y	513	0001381245	14279705011
10063		BK	BOOK	Y	195	0001381733	14279709011
10064		BK	BOOK	Y	340	0001382489	14279714011
10065		BK	BOOK	Y	375	0001384155	14279716011
10066		BK	BOOK	Y	486	0001384163	14279719011
10067		BK	BOOK	Y	195	0001384198	14279722011
10068		BK	BOOK	Y	306	0001386301	14279726011
10069		BK	BOOK	N	195	0001436163	14279728011
10070		BK	BOOK	N	340	0001437879	14279732011
10071		BK	BOOK	N	337	0001468685	14279733011
10072		BK	BOOK	Y	195	0001472933	520994
10073		BK	BOOK	Y	340	0001473123	1857
10074		BK	BOOK	Y	195	0001473727	1858
10075		BK	BOOK	Y	340	0001473905	1859
10076		BK	BOOK	Y	375	0001484648	1860
10077		BK	BOOK	Y	540	0001486632	1861
10078		BK	BOOK	Y	195	0001487795	1862
10079		BK	BOOK	Y	340	0001501232	2030
10080		BK	BOOK	Y	375	0001515195	1829
10081		BK	BOOK	Y	432	0001527355	1878
10082		BK	BOOK	Y	195	0001536338	170107
10083		BK	BOOK	Y	340	0001543849	1840
10084		BK	BOOK	Y	375	000161102X	1841
10085		BK	BOOK	Y	540	0001621076	1842
10086		BK	BOOK	Y	195	0001632108	1843
10087		BK	BOOK	Y	195	0001711237	3564964011
10088		BK	BOOK	Y	306	0001711296	3564965011
10089		BK	BOOK	Y	375	000171130X	1844
10090		BK	BOOK	Y	195	0001711342	1846
10091		BK	BOOK	Y	340	0001711474	1847
10092		BK	BOOK	Y	375	0001712772	1867
10093		BK	BOOK	Y	540	000171287X	1872
10094		BK	BOOK	Y	195	0001713086	1863
10095		BK	BOOK	Y	306	0001713108	1865
10096		BK	BOOK	Y	375	0001713256	1875
10097		BK	BOOK	Y	319	0001714384	1064
10098		BK	BOOK	Y	195	0001714538	10825731
10099		BK	BOOK	Y	306	0001720104	713036011
10100		BK	BOOK	Y	337	0001720252	197504011
10101		BK	BOOK	Y	195	0001720317	5824913011
10102		BK	BOOK	Y	306	0001837192	5824916011
10103		BK	BOOK	Y	340	0001837397	5824914011
10104		BK	BOOK	Y	486	0001837664	5824915011
10105		BK	BOOK	Y	195	0001839225	5824917011
10106		BK	BOOK	Y	323	0001839233	5824918011
10107		BK	BOOK	Y	375	0001841580	1873
10108		BK	BOOK	Y	540	0001841777	11764635011
10109		BK	BOOK	Y	195	0001842501	15762841
10110		BK	BOOK	Y	195	0001842765	1104
10111		BK	BOOK	Y	340	0001844040	8947733011
10112		BK	BOOK	Y	375	0001844164	8947734011
10113		BK	BOOK	Y	513	0001845357	585494
10114		BK	BOOK	Y	195	0001846590	8947735011
10115		BK	BOOK	Y	340	000184749X	4507
10116		BK	BOOK	Y	375	0001847627	2331
10117		BK	BOOK	Y	540	0001847775	2332
10118		BK	BOOK	Y	340	0001848062	2337
10119		BK	BOOK	Y	375	0001850032	8417570011
10120		BK	BOOK	Y	540	0001850164	8417571011
10121		BK	BOOK	Y	195	0001856871	2338
10122		BK	BOOK	Y	340	0001857029	9681285011
10123		BK	BOOK	Y	195	0001857169	2339
10124		BK	BOOK	Y	340	0001913093	2340
10125		BK	BOOK	Y	337	0001922408	9681286011
10126		BK	BOOK	Y	513	0001923315	9681287011
10127		BK	BOOK	Y	195	0001923331	2341
10128		BK	BOOK	Y	500	0001937782	2342
10129		BK	BOOK	Y	675	0001939777	4509
10130		BK	BOOK	Y	645	0001942123	4510
10131		BK	BOOK	Y	340	0001942611	4511
10132		BK	BOOK	Y	375	0001944541	1764
10133		BK	BOOK	Y	486	0001944959	1765
10134		BK	BOOK	Y	195	0001945130	8622772011
10135		BK	BOOK	Y	340	0001950541	8622773011
10136		BK	BOOK	Y	375	0001950584	8622774011
10137		BK	BOOK	Y	540	0001954032	8622775011
10138		BK	BOOK	Y	195	0001954059	8622776011
10139		BK	BOOK	Y	306	0001954563	1766
10140		BK	BOOK	Y	337	0001955837	1767
10141		BK	BOOK	Y	486	0001956264	1768
10142		BK	BOOK	Y	195	0001956272	8622779011
10143		BK	BOOK	Y	340	0001956752	8622780011
10144		BK	BOOK	Y	375	000195783X	1769
10145		BK	BOOK	Y	540	0001959735	1770
10146		BK	BOOK	Y	195	0001961012	8622783011
10147		BK	BOOK	Y	340	0001981315	8622784011
10148		BK	BOOK	Y	375	0001981692	8622785011
10149		BK	BOOK	Y	540	0001982370	8622786011
10150		BK	BOOK	Y	195	0001982419	8622787011
10151		BK	BOOK	Y	340	0001982435	8622788011
10152		BK	BOOK	Y	375	0001982443	1771
10153		BK	BOOK	Y	195	0001982559	1772
10154		BK	BOOK	Y	340	0001982796	8622791011
10155		BK	BOOK	Y	375	0001983261	8622792011
10156		BK	BOOK	Y	513	000198327X	8622793011
10157		BK	BOOK	Y	195	0001983393	8622794011
10158		BK	BOOK	Y	340	0001983415	8622795011
10159		BK	BOOK	Y	375	0001983660	8622796011
10160		BK	BOOK	Y	540	0001983806	4512
10161		BK	BOOK	Y	195	0001983857	4514
10162		BK	BOOK	Y	340	000198392X	4515
10163		BK	BOOK	Y	375	0001983938	1537
10164		BK	BOOK	Y	540	0001984020	1538
10165		BK	BOOK	Y	195	0002000075	1823
10166		BK	BOOK	Y	340	0002000105	4521
10167		BK	BOOK	Y	375	0002000172	271613011
10168		BK	BOOK	Y	540	0002000202	1779
10169		BK	BOOK	Y	6	0002000245	8947736011
10170		BK	BOOK	Y	195	0002000253	1780
10171		BK	BOOK	Y	340	000200027X	1782
10172		BK	BOOK	Y	500	0002000369	1783
10173		BK	BOOK	Y	195	0002000377	1784
10174		BK	BOOK	Y	340	0002000547	4522
10175		BK	BOOK	Y	340	0002000601	13022411
10176		BK	BOOK	Y	540	0002000725	1801
10177		BK	BOOK	Y	450	0002000822	4524
10178		BK	BOOK	Y	195	000200089X	4525
10179		BK	BOOK	Y	229	000200092X	4527
10180		BK	BOOK	Y	486	0002000946	4528
10181		BK	BOOK	Y	195	0002000997	4529
10182		BK	BOOK	Y	340	0002005239	1728
10183		BK	BOOK	Y	340	0002005298	1747
10184		BK	BOOK	Y	540	0002005387	1822
10185		BK	BOOK	Y	195	0002005395	4531
10186		BK	BOOK	Y	340	000200576X	4532
10187		BK	BOOK	Y	195	0002005808	4533
10188		BK	BOOK	Y	340	0002006006	4534
10189		BK	BOOK	Y	337	0002006162	1798
10190		BK	BOOK	Y	486	0002006413	1799
10191		BK	BOOK	Y	450	0002006618	332927011
10192		BK	BOOK	Y	598	0002006650	4520
10193		BK	BOOK	Y	195	0002006715	1801
10194		BK	BOOK	Y	340	0002006723	1802
10195		BK	BOOK	Y	375	0002006758	1803
10196		BK	BOOK	Y	486	0002006774	1804
10197		BK	BOOK	Y	195	0002006812	4535
10198		BK	BOOK	Y	340	0002006898	4536
10199		BK	BOOK	Y	375	0002007207	4537
10200		BK	BOOK	Y	540	000200724X	4538
10201		BK	BOOK	Y	495	0002007576	1809
10202		BK	BOOK	Y	745	0002007649	1821
10203		BK	BOOK	Y	195	0002007681	10095049011
10204		BK	BOOK	Y	340	0002007770	8622798011
10205		BK	BOOK	Y	375	0002007827	10099177011
10206		BK	BOOK	Y	195	0002007843	10099181011
10207		BK	BOOK	Y	340	0002007908	10099184011
10208		BK	BOOK	Y	337	0002007932	10099188011
10209		BK	BOOK	Y	540	0002008211	10099192011
10210		BK	BOOK	Y	195	0002008394	2479423011
10211		BK	BOOK	Y	340	0002008475	2479429011
10212		BK	BOOK	Y	375	0002008483	1820
10213		BK	BOOK	Y	540	0002008505	8622797011
10214		BK	BOOK	Y	195	0002008572	2479424011
10215		BK	BOOK	Y	340	0002008815	10056638011
10216		BK	BOOK	Y	337	0002051850	10056639011
10217		BK	BOOK	Y	540	0002103540	10056640011
10218		BK	BOOK	Y	450	0002103648	10056641011
10219		BK	BOOK	Y	195	0002103818	10056642011
10220		BK	BOOK	Y	340	0002110210	10056643011
10221		BK	BOOK	Y	333	0002110326	10056644011
10222		BK	BOOK	Y	486	0002110725	10037931011
10223		BK	BOOK	N	450	0002111306	2479425011
10224		BK	BOOK	Y	195	0002111616	2479426011
10225		BK	BOOK	Y	195	0002111640	1822
10226		BK	BOOK	Y	340	0002111713	1823
10227		BK	BOOK	Y	500	0002112388	2479427011
10228		BK	BOOK	Y	195	000211268X	2479428011
10229		BK	BOOK	Y	340	0002113570	1824
10230		BK	BOOK	Y	175	0002113848	2479422011
10231		BK	BOOK	Y	375	0002114038	8622799011
10232		BK	BOOK	Y	486	0002114186	10056632011
10233		BK	BOOK	Y	195	0002114437	10056633011
10234		BK	BOOK	Y	340	0002114453	10056634011
10235		BK	BOOK	Y	375	0002114674	10056635011
10236		BK	BOOK	Y	195	000211495X	10056636011
10237		BK	BOOK	Y	340	0002115050	2479430011
10238		BK	BOOK	Y	375	0002115352	8622800011
10239		BK	BOOK	Y	540	0002115581	10056623011
10240		BK	BOOK	Y	195	000211562X	10056624011
10241		BK	BOOK	Y	340	0002115808	10056625011
10242		BK	BOOK	Y	540	0002116138	10056626011
10243		BK	BOOK	Y	175	0002116448	10056627011
10244		BK	BOOK	Y	306	0002116456	10056628011
10245		BK	BOOK	Y	540	0002116499	10056629011
10246		BK	BOOK	Y	195	0002117053	10056630011
10247		BK	BOOK	Y	340	0002117088	4539
10248		BK	BOOK	Y	337	0002117177	4540
10249		BK	BOOK	Y	540	0002117207	10095049011
10250		BK	BOOK	Y	195	0002117274	4541
10251		BK	BOOK	Y	340	0002117649	4542
10252		BK	BOOK	Y	300	0002117886	4543
10253		BK	BOOK	Y	540	0002118572	4544
10254		BK	BOOK	Y	195	0002118769	10094987011
10255		BK	BOOK	Y	306	0002118858	4545
10256		BK	BOOK	Y	486	0002119307	13922599011
10257		BK	BOOK	Y	195	0002119366	4546
10258		BK	BOOK	Y	306	0002119560	4547
10259		BK	BOOK	Y	540	0002133636	4548
10260		BK	BOOK	Y	195	0002150514	1771
10261		BK	BOOK	Y	340	0002151189	520982
10262		BK	BOOK	Y	375	000215126X	3564967011
10263		BK	BOOK	Y	486	0002151448	520996
10264		BK	BOOK	Y	173	0002151634	3825091
10265		BK	BOOK	Y	195	000215191X	1848
10266		BK	BOOK	Y	340	0002152134	8622801011
10267		BK	BOOK	Y	540	0002152460	16926915011
10268		BK	BOOK	Y	195	0002152975	16244381
10269		BK	BOOK	Y	340	0002153211	8622819011
10270		BK	BOOK	Y	375	0002153238	13922568011
10271		BK	BOOK	Y	540	0002153246	3564968011
10272		BK	BOOK	Y	195	0002153327	15762861
10273		BK	BOOK	Y	340	0002153432	15762851
10274		BK	BOOK	Y	342	0002153904	1868
10275		BK	BOOK	Y	540	0002153971	1869
10276		BK	BOOK	Y	195	0002154129	234958011
10277		BK	BOOK	Y	540	000215420X	13922569011
10278		BK	BOOK	Y	195	0002154390	1876
10279		BK	BOOK	Y	495	0002154463	5160
10280		BK	BOOK	Y	745	0002154579	2018
10281		BK	BOOK	Y	340	0002154781	171126
10282		BK	BOOK	Y	375	0002154838	3825101
10283		BK	BOOK	Y	460	0002155133	15762871
10284		BK	BOOK	Y	195	0002155435	2019
10285		BK	BOOK	Y	340	0002155796	521000
10286		BK	BOOK	Y	375	000215644X	1474
10287		BK	BOOK	Y	460	0002156660	1475
10288		BK	BOOK	Y	195	0002156849	1476
10289		BK	BOOK	Y	340	0002157233	15763011
10290		BK	BOOK	Y	375	000215725X	1512
10291		BK	BOOK	Y	460	0002157292	1513
10292		BK	BOOK	Y	195	0002157330	1515
10293		BK	BOOK	Y	375	0002157462	1516
10294		BK	BOOK	Y	433	0002157470	1517
10295		BK	BOOK	Y	195	0002157977	1518
10296		BK	BOOK	Y	340	0002158000	1519
10297		BK	BOOK	Y	295	0002158183	13922600011
10298		BK	BOOK	Y	414	0002158388	1520
10299		BK	BOOK	Y	195	0002158426	1521
10300		BK	BOOK	Y	340	0002158442	713027011
10301		BK	BOOK	Y	540	000215854X	11160393011
10302		BK	BOOK	Y	337	0002158612	1099186
10303		BK	BOOK	Y	195	000215921X	271614011
10304		BK	BOOK	Y	459	0002159260	2154
10305		BK	BOOK	Y	195	0002159317	2155
10306		BK	BOOK	Y	340	0002159449	2156
10307		BK	BOOK	Y	375	000215949X	2157
10308		BK	BOOK	Y	540	0002159511	2158
10309		BK	BOOK	Y	195	0002159619	2221
10310		BK	BOOK	Y	195	0002159627	2224
10311		BK	BOOK	Y	327	0002159643	2225
10312		BK	BOOK	Y	375	0002159996	2227
10313		BK	BOOK	Y	479	0002160161	2229
10314		BK	BOOK	Y	195	0002160374	2020
10315		BK	BOOK	Y	195	0002160544	3564969011
10316		BK	BOOK	Y	195	0002160560	2021
10317		BK	BOOK	Y	306	0002160587	8622808011
10318		BK	BOOK	Y	375	0002161184	8622809011
10319		BK	BOOK	Y	540	0002161362	8622810011
10320		BK	BOOK	Y	195	0002161508	8622811011
10321		BK	BOOK	Y	306	0002161621	8622812011
10322		BK	BOOK	Y	195	000216163X	8622813011
10323		BK	BOOK	Y	340	000216194X	13922603011
10324		BK	BOOK	Y	375	0002162288	15762981
10325		BK	BOOK	Y	540	0002162652	2026
10326		BK	BOOK	Y	195	0002162733	8622815011
10327		BK	BOOK	Y	195	0002162989	8622817011
10328		BK	BOOK	Y	340	0002163292	8622818011
10329		BK	BOOK	Y	337	0002163519	8622835011
10330		BK	BOOK	Y	195	0002163659	271619011
10331		BK	BOOK	Y	195	0002164248	2023
10332		BK	BOOK	Y	340	0002164639	2024
10333		BK	BOOK	Y	375	0002166070	8622821011
10334		BK	BOOK	Y	195	0002166453	8622822011
10335		BK	BOOK	Y	340	0002166461	8622823011
10336		BK	BOOK	Y	375	0002166658	8622824011
10337		BK	BOOK	Y	540	0002166674	2027
10338		BK	BOOK	Y	195	0002166925	8298054011
10339		BK	BOOK	Y	195	0002166992	8298055011
10340		BK	BOOK	Y	340	0002167425	3825141
10341		BK	BOOK	Y	375	0002167549	505092
10342		BK	BOOK	Y	540	0002167859	2025
10343		BK	BOOK	Y	195	000216843X	2028
10344		BK	BOOK	Y	340	0002168952	8622837011
10345		BK	BOOK	Y	375	0002169525	10825721
10346		BK	BOOK	Y	540	0002170590	8622838011
10347		BK	BOOK	Y	195	000217104X	2080
10348		BK	BOOK	Y	340	0002171058	2085
10349		BK	BOOK	Y	375	0002172135	2029
10350		BK	BOOK	Y	540	0002172739	2030
10351		BK	BOOK	Y	195	0002172747	8622819011
10352		BK	BOOK	Y	195	0002173247	13922604011
10353		BK	BOOK	Y	195	0002173808	2031
10354		BK	BOOK	Y	500	0002174960	2032
10355		BK	BOOK	Y	195	0002175312	8622825011
10356		BK	BOOK	Y	195	000217572X	8622826011
10357		BK	BOOK	Y	340	0002175800	8622827011
10358		BK	BOOK	Y	195	0002175983	8622828011
10359		BK	BOOK	Y	340	0002176173	8622829011
10360		BK	BOOK	Y	540	0002176203	3564970011
10361		BK	BOOK	Y	195	0002176475	8622832011
10362		BK	BOOK	Y	495	0002177064	13922605011
10363		BK	BOOK	Y	745	0002177285	8622833011
10364		BK	BOOK	Y	340	0002177293	13922606011
10365		BK	BOOK	Y	375	000217734X	8622834011
10366		BK	BOOK	Y	540	0002177803	5019
10367		BK	BOOK	Y	215	0002177862	2081
10368		BK	BOOK	Y	340	0002177897	13922583011
10369		BK	BOOK	Y	337	000217796X	8298056011
10370		BK	BOOK	Y	540	0002178559	8298057011
10371		BK	BOOK	Y	195	000217863X	13922607011
10372		BK	BOOK	Y	195	0002179083	8622831011
10373		BK	BOOK	Y	340	0002179415	8622836011
10374		BK	BOOK	Y	195	0002179679	2082
10375		BK	BOOK	Y	340	0002179687	2083
10376		BK	BOOK	Y	195	0002179725	2084
10377		BK	BOOK	Y	340	0002179741	271621011
10378		BK	BOOK	Y	195	000217989X	2087
10379		BK	BOOK	Y	195	0002179911	1873
10380		BK	BOOK	Y	175	0002179938	2106
10381		BK	BOOK	Y	340	0002181193	5824920011
10382		BK	BOOK	Y	295	0002182300	5824919011
10383		BK	BOOK	Y	340	0002184702	1836
10384		BK	BOOK	Y	500	0002184796	7976024011
10385		BK	BOOK	Y	195	000218494X	10529
10386		BK	BOOK	Y	340	0002185385	11943
10387		BK	BOOK	Y	195	0002187027	10524
10388		BK	BOOK	Y	500	0002187035	11964
10389		BK	BOOK	Y	620	000218706X	7921657011
10390		BK	BOOK	Y	195	0002187949	2
10391		BK	BOOK	Y	195	0002188384	2327
10392		BK	BOOK	Y	340	0002188899	2328
10393		BK	BOOK	Y	375	0002189607	2329
10394		BK	BOOK	Y	195	0002189615	2330
10395		BK	BOOK	Y	375	0002190699	2331
10396		BK	BOOK	Y	540	000219080X	2332
10397		BK	BOOK	Y	177	0002191199	2337
10398		BK	BOOK	Y	323	0002191369	8417570011
10399		BK	BOOK	Y	540	0002191792	8417571011
10400		BK	BOOK	Y	195	0002192047	2338
10401		BK	BOOK	Y	340	0002192063	9681285011
10402		BK	BOOK	Y	375	0002192101	2339
10403		BK	BOOK	Y	540	0002192373	2340
10404		BK	BOOK	Y	195	0002192497	9681286011
10405		BK	BOOK	Y	306	0002192527	9681287011
10406		BK	BOOK	Y	375	0002192888	2341
10407		BK	BOOK	Y	540	0002193787	2342
10408		BK	BOOK	Y	195	000219502X	2343
10409		BK	BOOK	Y	340	0002195690	2345
10410		BK	BOOK	Y	375	0002197189	2347
10411		BK	BOOK	Y	540	0002197782	2348
10412		BK	BOOK	Y	195	0002197790	2365
10413		BK	BOOK	Y	340	0002198126	2366
10414		BK	BOOK	Y	375	0002198940	2369
10415		BK	BOOK	Y	540	0002199092	2373
10416		BK	BOOK	Y	195	0002199130	2375
10417		BK	BOOK	Y	340	0002199173	2376
10418		BK	BOOK	Y	375	0002199181	9681297011
10419		BK	BOOK	Y	540	0002199203	9681298011
10420		BK	BOOK	Y	195	0002199351	9692516011
10421		BK	BOOK	Y	340	0002199378	9692517011
10422		BK	BOOK	Y	540	0002199645	9692518011
10423		BK	BOOK	Y	2500	0002199793	9692519011
10424		BK	BOOK	Y	1250	0002199815	1043840
10425		BK	BOOK	Y	1800	0002199823	9681299011
10426		BK	BOOK	Y	1600	000219984X	9692508011
10427		BK	BOOK	Y	1000	0002199963	9692509011
10428		BK	BOOK	Y	195	0002200031	9692510011
10429		BK	BOOK	Y	265	0002200120	2377
10430		BK	BOOK	Y	540	000220035X	9692511011
10431		BK	BOOK	Y	195	0002200597	9692512011
10432		BK	BOOK	Y	340	0002200643	9692513011
10433		BK	BOOK	Y	295	0002201372	9692514011
10434		BK	BOOK	Y	540	0002201399	9692515011
10435		BK	BOOK	Y	195	0002202085	2393
10436		BK	BOOK	Y	195	0002202123	2394
10437		BK	BOOK	Y	306	0002202158	9692521011
10438		BK	BOOK	Y	414	0002210495	9692520011
10439		BK	BOOK	Y	195	0002210967	2395
10440		BK	BOOK	Y	195	0002211025	9681303011
10441		BK	BOOK	Y	340	0002211297	465246
10442		BK	BOOK	Y	540	0002211467	465250
10443		BK	BOOK	Y	195	0002211483	9681307011
10444		BK	BOOK	Y	340	0002211823	2396
10445		BK	BOOK	Y	375	0002212129	465244
10446		BK	BOOK	Y	195	0002212161	9681304011
10447		BK	BOOK	N	306	0002212269	9681305011
10448		BK	BOOK	Y	340	0002213184	9681306011
10449		BK	BOOK	Y	375	0002213311	465246
10450		BK	BOOK	Y	540	0002213583	9681303011
10451		BK	BOOK	Y	195	0002214032	886496
10452		BK	BOOK	Y	195	0002214113	9681300011
10453		BK	BOOK	Y	340	000221413X	9681301011
10454		BK	BOOK	Y	375	0002214407	9681302011
10455		BK	BOOK	Y	460	0002214709	2397
10456		BK	BOOK	Y	340	0002215357	2418
10457		BK	BOOK	Y	375	0002215748	9681307011
10458		BK	BOOK	Y	540	0002216213	2398
10459		BK	BOOK	Y	195	0002216477	886494
10460		BK	BOOK	Y	340	000221685X	2399
10461		BK	BOOK	Y	375	0002216973	9681289011
10462		BK	BOOK	Y	540	0002217325	3048891
10463		BK	BOOK	Y	195	000221735X	2419
10464		BK	BOOK	Y	340	0002217473	2420
10465		BK	BOOK	Y	375	0002217600	7538384011
10466		BK	BOOK	Y	540	0002217635	2421
10467		BK	BOOK	Y	195	0002218321	9681288011
10468		BK	BOOK	Y	340	0002218615	172763
10469		BK	BOOK	Y	375	0002218844	9681290011
10470		BK	BOOK	Y	540	0002218879	2422
10471		BK	BOOK	Y	195	0002219360	2423
10472		BK	BOOK	Y	340	0002219417	2425
10473		BK	BOOK	Y	375	0002219492	2426
10474		BK	BOOK	Y	540	0002219565	2427
10475		BK	BOOK	Y	195	0002220075	2429
10476		BK	BOOK	Y	459	0002220334	1043842
10477		BK	BOOK	Y	745	0002220350	2430
10478		BK	BOOK	Y	340	0002221020	2432
10479		BK	BOOK	Y	375	0002221365	2433
10480		BK	BOOK	Y	540	0002221373	2434
10481		BK	BOOK	Y	195	0002222450	2435
10482		BK	BOOK	Y	340	0002222590	2436
10483		BK	BOOK	Y	337	0002222671	2437
10484		BK	BOOK	Y	540	0002222817	2438
10485		BK	BOOK	Y	195	0002222965	2439
10486		BK	BOOK	Y	323	000222383X	2440
10487		BK	BOOK	Y	195	0002226049	2441
10488		BK	BOOK	Y	340	0002226340	2442
10489		BK	BOOK	Y	375	000222657X	160223011
10490		BK	BOOK	Y	486	0002226618	2444
10491		BK	BOOK	Y	337	0002226901	2445
10492		BK	BOOK	Y	195	0002227096	2446
10493		BK	BOOK	Y	175	0002228645	2447
10494		BK	BOOK	Y	195	0002229781	2448
10495		BK	BOOK	Y	195	0002231026	9681293011
10496		BK	BOOK	Y	340	0002231344	9681294011
10497		BK	BOOK	Y	195	0002231832	9681295011
10498		BK	BOOK	Y	340	0002231875	9681296011
10499		BK	BOOK	Y	375	0002232529	2449
10500		BK	BOOK	Y	195	0002233568	2450
10501		BK	BOOK	Y	340	0002233916	281388
10502		BK	BOOK	Y	337	0002234173	1043966
10503		BK	BOOK	Y	486	0002234394	2451
10504		BK	BOOK	Y	486	0002234572	300961
10505		BK	BOOK	Y	195	0002235013	11314
10506		BK	BOOK	Y	340	0002236540	11316
10507		BK	BOOK	Y	375	0002236648	11322
10508		BK	BOOK	Y	540	0002236761	9681291011
10509		BK	BOOK	Y	195	000223677X	11320
10510		BK	BOOK	Y	340	0002237245	271636011
10511		BK	BOOK	Y	375	0002237814	271635011
10512		BK	BOOK	Y	540	0002238314	9681292011
10513		BK	BOOK	Y	195	0002238586	3
10514		BK	BOOK	Y	340	0002238918	266117
10515		BK	BOOK	Y	375	0002238934	7742993011
10516		BK	BOOK	Y	540	0002239221	2742
10517		BK	BOOK	Y	195	0002239418	11661
10518		BK	BOOK	Y	340	0002239426	7742994011
10519		BK	BOOK	Y	375	0002239833	7742995011
10520		BK	BOOK	Y	540	0002240017	7742996011
10521		BK	BOOK	Y	195	0002240432	266108
10522		BK	BOOK	Y	340	000224053X	7742998011
10523		BK	BOOK	Y	337	0002241749	7742999011
10524		BK	BOOK	Y	540	0002242052	2538
10525		BK	BOOK	Y	195	0002243644	2420
10526		BK	BOOK	Y	195	0002243741	2542
10527		BK	BOOK	Y	340	0002243768	2589
10528		BK	BOOK	Y	375	0002245493	2558
10529		BK	BOOK	Y	319	0002245604	2735
10530		BK	BOOK	Y	900	0002245833	2736
10531		BK	BOOK	Y	550	0002245922	2565
10532		BK	BOOK	Y	525	0002246325	2567
10533		BK	BOOK	Y	1200	0002247399	2545
10534		BK	BOOK	Y	900	0002247593	355580011
10535		BK	BOOK	Y	550	0002247623	2571
10536		BK	BOOK	Y	700	0002250357	2581
10537		BK	BOOK	Y	375	0002250381	2633
10538		BK	BOOK	Y	900	0002250462	2739
10539		BK	BOOK	Y	1000	0002250519	2582
10540		BK	BOOK	Y	2250	0002250535	2583
10541		BK	BOOK	Y	800	000225056X	2585
10542		BK	BOOK	Y	900	0002250616	10806607011
10543		BK	BOOK	Y	1600	0002250667	2586
10544		BK	BOOK	Y	900	0002250713	2587
10545		BK	BOOK	Y	1080	000225073X	2589
10546		BK	BOOK	Y	900	0002250748	2588
10547		BK	BOOK	Y	1000	0002250756	1043856
10548		BK	BOOK	Y	700	0002251043	2591
10549		BK	BOOK	Y	1000	0002251183	713051011
10550		BK	BOOK	Y	1642	0002251205	9147391011
10551		BK	BOOK	Y	900	0002251213	2593
10552		BK	BOOK	Y	1600	0002251337	2611
10553		BK	BOOK	Y	630	0002251493	2595
10554		BK	BOOK	Y	550	0002251507	2596
10555		BK	BOOK	Y	700	000225168X	2597
10556		BK	BOOK	Y	495	0002251833	2598
